benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
matmult-int,variant_0,0,0,PASS,77079343,54722975,140.832
matmult-int,variant_1,0.0001,0,PASS,5909721,3436466,10.797
matmult-int,variant_2,0.0002,0,PASS,5528121,3054866,10.93
matmult-int,variant_3,0.0005,0,PASS,5528121,3054866,12.134
matmult-int,variant_4,0.001,0,PASS,5528121,3054866,11.88
matmult-int,variant_5,0.0015,0,PASS,5528121,3054866,8.525
matmult-int,variant_6,0.002,0,PASS,5528121,3054866,10.338
matmult-int,variant_7,0.003,0,PASS,5528121,3054866,12.846
matmult-int,variant_8,0.005,0,PASS,5528121,3054866,8.656
matmult-int,variant_9,0.007,0,PASS,5528121,3054866,12.63
matmult-int,variant_10,0.01,0,PASS,5528121,3054866,11.535
matmult-int,variant_11,0.015,0,PASS,5528121,3054866,8.672
matmult-int,variant_12,0.02,0,PASS,5519321,3048466,8.698
matmult-int,variant_13,0.03,0,PASS,5519321,3048466,11.966
matmult-int,variant_14,0.05,0,PASS,5512121,3041266,12.764
matmult-int,variant_15,0.07,0,PASS,5508921,3038066,12.678
matmult-int,variant_16,0.1,0,PASS,5508921,3038066,12.863
matmult-int,variant_17,0.15,0,PASS,5508921,3038066,12.831
matmult-int,variant_18,0.2,0,PASS,5467321,3003666,11.742
matmult-int,variant_19,0.3,0,PASS,5467315,3003660,12.974
matmult-int,variant_20,0.4,0,PASS,5467314,3003659,12.453
matmult-int,variant_21,0.5,0,PASS,5467314,3003659,11.925
matmult-int,variant_22,0.6,0,PASS,5467315,3003660,11.194
matmult-int,variant_23,0.7,0,PASS,5467314,3003659,12.428
matmult-int,variant_24,0.85,0,PASS,5467321,3003666,10.945
matmult-int,variant_25,0.9,0,PASS,5467315,3003660,8.727
matmult-int,variant_26,1,0,PASS,5467314,3003659,12.169
md5,variant_original,original,,PASS,2316249,1816411,5.305
md5,variant_gp,gp,,PASS,2316249,1816411,4.265
md5,variant_0,0,0,PASS,3492877,3059796,9.219
md5,variant_1,0.0001,0,PASS,3570247,2979510,10.489
md5,variant_2,0.0002,0,PASS,3570247,2979510,9.65
md5,variant_3,0.0005,0,PASS,2661586,2070849,7.953
md5,variant_4,0.001,0,PASS,2463362,1949949,4.295
md5,variant_5,0.0015,0,PASS,2436528,1936637,4.515
md5,variant_6,0.002,0,PASS,2436528,1936637,7.082
md5,variant_7,0.003,0,PASS,2343084,1843193,6.456
md5,variant_8,0.005,0,PASS,2343396,1843505,5.633
md5,variant_9,0.007,0,PASS,2343136,1843245,6.234
md5,variant_10,0.01,0,PASS,2329772,1829881,4.25
md5,variant_11,0.015,0,PASS,2329772,1829881,5.352
md5,variant_12,0.02,0,PASS,2329826,1829935,4.581
md5,variant_13,0.03,0,PASS,2329772,1829881,5.242
